Bean_Kandy_price,Kandy,Dambulla,Exchange Rate
375.0,250.0,240.0,321.66
335.0,155.0,195.0,322.38
325.0,155.0,195.0,323.38
265.0,155.0,210.0,323.37
340.0,155.0,150.0,323.38
315.0,145.0,140.0,323.71
285.0,135.0,135.0,324.0
240.0,125.0,135.0,324.7
215.0,130.0,130.0,324.61
235.0,120.0,135.0,324.44
265.0,120.0,115.0,324.6
315.0,395.0,425.0,323.64
300.0,150.0,150.0,323.6
365.0,250.0,250.0,323.81
315.0,155.0,150.0,323.8
335.0,160.0,150.0,323.86
365.0,160.0,150.0,323.91
340.0,150.0,155.0,324.14
340.0,165.0,165.0,324.38
390.0,160.0,145.0,324.97
400.0,175.0,175.0,325.0
410.0,190.0,205.0,325.9
460.0,170.0,210.0,327.11
490.0,210.0,200.0,326.56
510.0,230.0,210.0,326.5
375.0,260.0,245.0,327.13
275.0,260.0,260.0,327.38
315.0,370.0,375.0,327.12
350.0,190.0,205.0,328.41
290.0,150.0,165.0,328.46
425.0,310.0,340.0,327.62
315.0,335.0,375.0,327.19
365.0,335.0,375.0,326.89
300.0,290.0,380.0,327.36
315.0,290.0,325.0,328.64
360.0,290.0,285.0,328.07
435.0,280.0,315.0,327.92
425.0,285.0,280.0,328.09
475.0,250.0,275.0,328.39
465.0,255.0,275.0,328.48
475.0,290.0,260.0,328.72
560.0,330.0,290.0,328.75
565.0,290.0,280.0,329.0
345.0,190.0,175.0,326.7
300.0,160.0,150.0,326.82
325.0,310.0,290.0,327.18
325.0,290.0,310.0,327.1
325.0,315.0,310.0,326.78
365.0,340.0,365.0,326.72
375.0,410.0,285.0,326.99
375.0,360.0,410.0,326.92
425.0,400.0,400.0,326.96
475.0,400.0,450.0,326.97
525.0,400.0,415.0,326.35
575.0,565.0,550.0,325.74
525.0,565.0,575.0,324.23
590.0,625.0,725.0,323.92
