Bean_Kandy_price,Kandy,Dambulla,Exchange Rate
155.0,145.0,155.0,201.93
135.0,145.0,120.0,200.45
130.0,135.0,122.5,201.05
125.0,125.0,125.0,201.65
150.0,125.0,130.0,202.25
175.0,125.0,135.0,200.01
215.0,95.0,105.0,201.59
232.5,100.0,112.5,201.22
250.0,105.0,120.0,201.06
365.0,240.0,210.0,201.15
367.5,300.0,267.5,201.24
370.0,360.0,325.0,201.33
360.0,375.0,375.0,201.87
340.0,390.0,425.0,201.87
340.0,390.0,320.0,200.67
305.0,310.0,275.0,201.54
326.6666667,336.67,291.67,202.03
348.3333333,363.33,308.33,202.51
370.0,390.0,325.0,203.0
345.0,310.0,290.0,201.51
355.0,310.0,325.0,201.32
360.0,310.0,365.0,200.72
360.0,345.0,330.0,200.92
376.6666667,360.0,358.33,200.92
393.3333333,375.0,386.67,200.92
410.0,390.0,415.0,200.92
390.0,390.0,325.0,201.5
390.0,390.0,365.0,201.0
340.0,400.0,400.0,203.0
335.0,415.0,320.0,200.43
262.5,387.5,325.0,200.43
190.0,360.0,330.0,200.43
142.5,242.5,235.0,200.43
95.0,125.0,140.0,200.0
305.0,207.5,210.0,201.71
515.0,290.0,280.0,201.05
290.0,240.0,220.0,201.33
290.0,255.0,200.0,201.52
290.0,250.0,255.0,201.71
327.5,270.0,270.0,201.9
365.0,290.0,285.0,200.94
225.0,360.0,325.0,200.98
315.0,290.0,310.0,201.78
319.0,310.0,314.0,201.82
323.0,330.0,318.0,201.85
327.0,350.0,322.0,201.88
331.0,370.0,326.0,201.91
335.0,390.0,330.0,201.94
315.0,390.0,330.0,201.94
350.0,365.0,320.0,201.05
355.0,365.0,310.0,202.75
375.0,355.0,291.67,202.5
395.0,345.0,273.33,202.25
415.0,335.0,255.0,202.0
415.0,335.0,350.0,202.03
340.0,335.0,295.0,201.59
335.0,320.0,305.0,202.0
265.0,335.0,335.0,201.19
240.0,335.0,335.0,201.19
215.0,335.0,335.0,201.19
190.0,335.0,335.0,201.19
180.0,347.5,342.5,201.97
170.0,360.0,350.0,201.42
210.0,270.0,240.0,201.58
295.0,276.67,255.0,201.69
380.0,283.33,270.0,201.79
465.0,290.0,285.0,201.9
400.0,250.0,227.5,202.0
335.0,210.0,170.0,202.41
290.0,250.0,275.0,202.07
287.5,280.0,262.5,201.96
285.0,310.0,250.0,202.0
220.0,340.0,300.0,201.67
195.0,377.5,325.0,201.34
170.0,415.0,350.0,201.01
170.0,390.0,375.0,201.0
170.0,400.0,392.5,201.51
170.0,410.0,410.0,202.01
210.0,385.0,365.0,202.11
210.0,376.67,350.0,202.05
210.0,368.33,335.0,201.99
210.0,360.0,320.0,201.93
225.625,366.88,320.0,202.0
241.25,373.75,320.0,201.19
256.875,380.62,320.0,201.19
272.5,387.5,320.0,202.33
288.125,394.38,320.0,201.91
303.75,401.25,320.0,201.48
319.375,408.12,320.0,201.06
335.0,415.0,320.0,201.48
170.0,360.0,345.0,201.9
210.0,290.0,295.0,202.0
303.3333333,291.67,280.0,201.63
396.6666667,293.33,265.0,201.77
490.0,295.0,250.0,201.9
425.0,260.0,257.5,202.04
360.0,225.0,265.0,202.09
322.5,270.0,290.0,229.5
285.0,315.0,315.0,229.34
275.0,290.0,285.0,251.97
246.6666667,256.67,261.67,251.97
218.3333333,223.33,238.33,251.97
190.0,190.0,215.0,251.97
160.0,210.0,230.0,263.33
160.0,210.0,230.0,267.86
165.0,210.0,210.0,267.87
170.0,210.0,190.0,267.88
170.0,196.67,183.33,270.25
170.0,183.33,176.67,272.63
