Date,rain_sum
3/24/2013,74.6
3/25/2013,27.1
3/26/2013,16.4
3/27/2013,2.1
3/28/2013,3.2
3/29/2013,7.2
3/30/2013,0.6
3/31/2013,0.5
4/1/2013,0.2
4/2/2013,0
4/3/2013,0
4/4/2013,2.3
4/5/2013,0.9
4/6/2013,2.1
4/7/2013,0.7
4/8/2013,0.6
4/9/2013,0
4/10/2013,5
4/11/2013,2.2
4/12/2013,3
4/13/2013,30.3
4/14/2013,1.8
4/15/2013,7.5
4/16/2013,0.4
4/17/2013,0.6
4/18/2013,1.8
4/19/2013,0.9
4/20/2013,1.4
4/21/2013,2.4
4/22/2013,0.9
4/23/2013,6.1
4/24/2013,3.2
4/25/2013,21.5
4/26/2013,5.9
4/27/2013,5.9
4/28/2013,3.5
4/29/2013,4.9
4/30/2013,6.4
5/1/2013,31.9
5/2/2013,9
5/3/2013,10.6
5/4/2013,5.9
5/5/2013,14.1
5/6/2013,24.4
5/7/2013,9.1
5/8/2013,0.4
5/9/2013,2.5
5/10/2013,1.4
5/11/2013,1.9
5/12/2013,1.8
5/13/2013,7.2
5/14/2013,2.2
5/15/2013,0
5/16/2013,0.5
5/17/2013,0.2
5/18/2013,2.3
5/19/2013,6
5/20/2013,3.3
5/21/2013,1.2
5/22/2013,0.2
5/23/2013,1.3
5/24/2013,1.9
5/25/2013,2.3
5/26/2013,2.8
5/27/2013,0.4
5/28/2013,1.9
5/29/2013,2.2
5/30/2013,2.6
5/31/2013,14.2
6/1/2013,2.2
6/2/2013,13.9
6/3/2013,7.4
6/4/2013,5.6
6/5/2013,3.9
6/6/2013,2.1
6/7/2013,16.7
6/8/2013,33.2
6/9/2013,4.5
6/10/2013,5
6/11/2013,10.3
6/12/2013,20.5
6/13/2013,15.1
6/14/2013,8.2
6/15/2013,15.8
6/16/2013,3
6/17/2013,17.6
6/18/2013,4.9
6/19/2013,7.3
6/20/2013,6.9
6/21/2013,12.1
6/22/2013,22.7
6/23/2013,17.2
6/24/2013,3.9
6/25/2013,2.3
6/26/2013,3.1
6/27/2013,0.9
6/28/2013,2.9
6/29/2013,5.7
6/30/2013,4.2
7/1/2013,3.4
7/2/2013,6.3
7/3/2013,3.7
7/4/2013,3.4
7/5/2013,4.1
7/6/2013,12.7
7/7/2013,7.3
7/8/2013,10.5
7/9/2013,12.8
7/10/2013,28.4
7/11/2013,1.3
7/12/2013,3.2
7/13/2013,1.8
7/14/2013,1.5
7/15/2013,3.5
7/16/2013,7.8
7/17/2013,2.2
7/18/2013,3.3
7/19/2013,3
7/20/2013,0.9
7/21/2013,3
7/22/2013,11.6
7/23/2013,4.1
7/24/2013,2.3
7/25/2013,3.3
7/26/2013,3.8
7/27/2013,0.5
7/28/2013,0.7
7/29/2013,1.6
7/30/2013,0.6
7/31/2013,0
8/1/2013,1.9
8/2/2013,6.8
8/3/2013,6.3
