Date,Item,Peliyagoda,Kandy,Dambulla,Meegoda,Norochchole,Thambuththegama,Keppetipola,Nuwaraeliya,Bandarawela,Veyangoda
2020-10-14,Leeks,30.00--40.00,40.00--50.00,35.00--50.00,60.00--65.00,,55.00--60.00,,40.00-45.00,,
2020-10-15,Leeks,40.00--50.00,40.00--50.00,35.00--50.00,55.00--60.00,,55.00--60.00,,40.00-45.00,,
2020-10-16,Leeks,40.00--50.00,60.00--70.00,40.00--50.00,50.00--60.00,,50.00--60.00,,40.00-45.00,,
2020-10-19,Leeks,30.00--50.00,40.00--45.00,40.00--55.00,60.00--70.00,,50.00--60.00,,45.00-55.00,,
2020-10-20,Leeks,35.00--50.00,45.00--50.00,40.00--50.00,60.00--70.00,,55.00--60.00,45.00-55.00,45.00-50.00,,
2020-10-21,Leeks,40.00--60.00,50.00--60.00,40.00--50.00,60.00--70.00,,55.00--60.00,40.00-45.00,45.00-50.00,,
2020-10-22,Leeks,40.00--60.00,50.00--60.00,40.00--50.00,60.00--70.00,,50.00--60.00,40.00-45.00,40.00-45.00,,
2020-10-23,Leeks,,40.00--50.00,40.00--50.00,60.00--65.00,,55.00--60.00,40.00-45.00,40.00-45.00,,
2020-10-26,Leeks,,50.00--60.00,45.00--50.00,65.00--70.00,,55.00--60.00,35.00-45.00,40.00-45.00,,
2020-10-27,Leeks,,50.00--60.00,45.00--60.00,60.00--70.00,,50.00--60.00,40.00-44.00,40.00-45.00,,
2020-10-28,Leeks,,45.00--50.00,40.00--50.00,60.00--65.00,,55.00--60.00,40.00-50.00,40.00-45.00,,
2020-10-29,Leeks,,75.00--80.00,65.00--80.00,,,55.00--65.00,,40.00-45.00,,
2020-11-03,Leeks,100.00--120.00,110.00--120.00,100.00-120.00,130.00-140.00,,120.00-140.00,100.00-110.00,105.00--115.00,,
2020-11-08,Leeks,40.00--50.00,70.00--80.00,40.00--50.00,60.00--70.00,,45.00--55.00,43.00-45.00,40.00-50.00,,
2020-11-09,Leeks,40.00--50.00,45.00--50.00,45.00--60.00,50.00--60.00,,45.00--55.00,,35.00-40.00,,
2020-11-11,Leeks,,30.00--40.00,40.00--50.00,55.00--60.00,,50.00--60.00,35.00-40.00,30.00-40.00,,
2020-11-12,Leeks,,50.00--60.00,40.00--50.00,50.00--60.00,,50.00--60.00,35.00-40.00,40.00-45.00,,
2020-11-13,Leeks,,35.00--40.00,25.00--35.00,55.00--60.00,,50.00--60.00,30.00-35.00,30.00-35.00,,
2020-11-16,Leeks,,35.00--45.00,40.00--45.00,60.00--70.00,,50.00--60.00,35.00-40.00,30.00-35.00,,
2020-11-17,Leeks,,50.00--60.00,40.00--50.00,60.00--65.00,,60.00--70.00,32.00-35.00,30.00-35.00,,
2020-11-18,Leeks,,40.00--50.00,25.00--30.00,60.00--65.00,,55.00--65.00,25.00-30.00,30.00-35.00,,
2020-11-19,Leeks,,30.00--40.00,25.00--35.00,60.00--70.00,,45.00--55.00,25.00-30.00,30.00-35.00,,
2020-11-20,Leeks,,30.00--40.00,30.00--40.00,55.00--65.00,,50.00--60.00,20.00-25.00,30.00-35.00,,
2020-11-23,Leeks,,40.00--50.00,40.00--50.00,55.00--60.00,,40.00--50.00,25.00-30.00,25.00-30.00,,
2020-11-24,Leeks,,30.00--40.00,30.00--40.00,55.00--60.00,,40.00--50.00,28.00-33.00,25.00-30.00,,
2020-11-25,Leeks,,30.00--35.00,35.00--45.00,55.00--60.00,,40.00--50.00,28.00-33.00,25.00-30.00,,
