Date,Kandy_Beans,Dambulla_Beans,Exchange Rate_Beans,Kandy_Carrot,Dambulla_Carrot,Exchange Rate_Carrot,Kandy_Leaks,Dambulla_Leaks,Buy Rate_Leaks
2023-09-19,315.0,310.0,323.71,145.0,140.0,323.71,65.0,75.0,318.26
2023-09-20,285.0,225.0,324.0,135.0,135.0,324.0,55.0,65.0,318.7
2023-09-21,240.0,305.0,324.7,125.0,135.0,324.7,55.0,52.5,318.9
2023-09-22,215.0,195.0,324.61,130.0,130.0,324.61,55.0,50.0,318.52
2023-09-23,221.67,216.67,324.55,126.67,131.67,324.55,51.67,52.5,318.59
2023-09-24,228.33,238.33,324.5,123.33,133.33,324.5,48.33,55.0,318.67
2023-09-25,235.0,260.0,324.44,120.0,135.0,324.44,45.0,57.5,318.74
2023-09-26,265.0,275.0,324.6,120.0,115.0,324.6,55.0,50.0,318.74
2023-09-27,269.17,280.42,324.45,125.0,118.0,324.45,86.0,83.0,318.26
2023-09-28,273.33,285.83,324.26,130.0,121.0,324.26,103.8,103.4,318.27
2023-09-29,277.5,291.25,324.08,135.0,124.0,324.08,121.6,123.8,318.27
2023-09-30,281.67,296.67,323.89,140.0,127.0,323.89,139.4,144.2,318.27
2023-10-01,285.83,302.08,323.7,145.0,130.0,323.7,157.2,164.6,318.28
2023-10-02,290.0,307.5,323.52,115.0,110.0,323.52,175.0,185.0,318.28
2023-10-03,294.17,312.92,323.8,95.0,95.0,323.8,155.0,170.0,318.32
2023-10-04,298.33,318.33,323.77,110.0,100.0,323.77,170.0,155.0,318.1
2023-10-05,302.5,323.75,323.77,140.0,125.0,323.77,190.0,190.0,318.23
2023-10-06,306.67,329.17,323.69,265.0,250.0,323.69,165.0,162.5,318.28
2023-10-07,310.83,334.58,323.67,390.0,375.0,323.67,140.0,140.83,318.29
2023-10-08,315.0,340.0,323.64,395.0,425.0,323.64,115.0,119.17,318.3
2023-10-09,307.5,322.5,323.61,272.5,287.5,323.61,90.0,97.5,318.3
2023-10-10,300.0,305.0,323.6,150.0,150.0,323.6,55.0,65.0,317.91
2023-10-11,365.0,275.0,323.81,250.0,250.0,323.81,110.0,110.0,318.03
2023-10-12,340.0,320.0,323.85,202.5,200.0,323.85,92.5,82.5,318.07
2023-10-13,315.0,365.0,323.8,155.0,150.0,323.8,75.0,55.0,318.09
2023-10-14,321.67,368.33,323.82,156.67,150.0,323.82,68.33,63.33,318.12
2023-10-15,328.33,371.67,323.84,158.33,150.0,323.84,61.67,71.67,318.14
2023-10-16,335.0,375.0,323.86,160.0,150.0,323.86,55.0,80.0,318.17
2023-10-17,365.0,375.0,323.91,160.0,150.0,323.91,65.0,70.0,318.28
2023-10-18,340.0,380.0,324.14,150.0,155.0,324.14,65.0,75.0,318.92
2023-10-19,340.0,425.0,324.38,165.0,165.0,324.38,75.0,80.0,319.3
2023-10-20,390.0,315.0,324.97,160.0,145.0,324.97,75.0,65.0,319.65
2023-10-21,393.33,368.33,324.98,165.0,155.0,324.98,75.0,65.0,319.88
2023-10-22,396.67,421.67,324.99,170.0,165.0,324.99,75.0,65.0,320.1
2023-10-23,400.0,475.0,325.0,175.0,175.0,325.0,75.0,65.0,320.33
2023-10-24,410.0,475.0,325.9,190.0,205.0,325.9,75.0,70.0,320.81
2023-10-25,460.0,475.0,327.11,170.0,210.0,327.11,65.0,70.0,321.71
2023-10-26,490.0,515.0,326.56,210.0,200.0,326.56,75.0,72.5,321.39
2023-10-27,510.0,525.0,326.5,230.0,210.0,326.5,90.0,77.5,321.55
2023-10-28,465.0,508.33,326.71,240.0,221.67,326.71,96.67,95.0,321.6
2023-10-29,420.0,491.67,326.92,250.0,233.33,326.92,103.33,112.5,321.65
2023-10-30,375.0,475.0,327.13,260.0,245.0,327.13,110.0,130.0,321.71
